Time,Level
00.01,105
00.16,115
00.31,113
00.46,113
01.01,113
01.16,117
01.31,109
01.46,103
02.01,108
02.16,113
02.31,101
02.46,101
03.01,106
03.16,113
03.31,109
03.46,93
04.01,92
04.16,96
04.31,99
04.46,105
05.01,102
05.16,94
05.31,84
05.46,75
06.01,73
06.16,79
06.31,82
06.46,82
07.01,85
07.16,84
07.31,86
07.46,89
08.01,87
08.16,87
08.31,93
08.46,120
09.01,127
09.16,114
09.31,105
09.46,110
10.01,116
10.16,98
10.31,95
10.46,94
11.01,87
11.16,89
11.31,95
11.46,95
12.01,86
12.16,98
12.31,108
12.46,104
13.01,109
13.16,102
13.31,97
13.46,93
14.01,103
14.16,109
14.31,118
14.46,120
15.01,112
15.16,115
15.31,117
15.46,112
16.01,106
16.16,107
16.31,122
16.46,132
17.01,117
17.16,114
17.31,113
17.46,106
18.01,100
18.16,96
18.31,93
18.46,93
19.01,104
19.16,120
19.31,95
19.46,89
20.01,111
20.16,119
20.31,119
20.46,103
21.01,90
21.16,97
21.31,105
21.46,99
22.01,99
22.16,95
22.31,89
22.46,88
23.01,91
23.16,93
23.31,93
23.46,88
24.01,94
24.16,95
24.31,90
24.46,90
25.01,82
25.16,88
25.31,87
25.46,95
