Time,Level
00.01,69
00.16,64
00.31,66
00.46,69
01.01,78
01.16,69
01.31,60
01.46,65
02.01,73
02.16,70
02.31,59
02.46,48
03.01,45
03.16,51
03.31,56
03.46,58
04.01,56
04.16,57
04.31,55
04.46,57
05.01,57
05.16,55
05.31,44
05.46,40
06.01,45
06.16,49
06.31,51
06.46,59
07.01,60
07.16,51
07.31,53
07.46,54
08.01,50
08.16,48
08.31,60
08.46,56
09.01,63
09.16,60
09.31,57
09.46,56
10.01,55
10.16,57
10.31,56
10.46,54
11.01,53
11.16,52
11.31,51
11.46,53
12.01,60
12.16,63
12.31,67
12.46,73
13.01,77
13.16,76
13.31,77
13.46,78
14.01,87
14.16,77
14.31,74
14.46,74
15.01,85
15.16,90
15.31,79
15.46,74
16.01,75
16.16,73
16.31,69
16.46,73
17.01,67
17.16,68
17.31,76
17.46,88
18.01,93
18.16,76
18.31,70
18.46,88
19.01,101
19.16,94
19.31,94
19.46,86
20.01,81
20.16,87
20.31,98
20.46,97
21.01,89
21.16,84
21.31,81
21.46,85
22.01,97
22.16,95
22.31,85
22.46,83
23.01,85
23.16,81
23.31,83
23.46,95
24.01,88
24.16,77
24.31,83
24.46,91
25.01,90
25.16,80
25.31,73
25.46,71
