Time,Level
00.01,109
00.16,93
00.31,84
00.46,92
01.01,95
01.16,92
01.31,84
01.46,78
02.01,75
02.16,75
02.31,80
02.46,79
03.01,83
03.16,84
03.31,85
03.46,85
04.01,88
04.16,89
04.31,83
04.46,80
05.01,76
05.16,74
05.31,72
05.46,70
06.01,71
06.16,73
06.31,71
06.46,68
07.01,70
07.16,70
07.31,67
07.46,70
08.01,73
08.16,70
08.31,71
08.46,71
09.01,70
09.16,71
09.31,74
09.46,74
10.01,77
10.16,80
10.31,76
10.46,79
11.01,87
11.16,113
11.31,136
11.46,115
12.01,93
12.16,101
12.31,123
12.46,120
13.01,107
13.16,99
13.31,90
13.46,97
14.01,100
14.16,87
14.31,91
14.46,96
15.01,105
15.16,108
15.31,110
15.46,106
16.01,106
16.16,109
16.31,97
16.46,92
17.01,99
17.16,98
17.31,88
17.46,95
18.01,100
18.16,85
18.31,89
18.46,87
19.01,91
19.16,100
19.31,100
19.46,102
20.01,100
20.16,107
20.31,106
20.46,97
21.01,95
21.16,100
21.31,101
21.46,84
22.01,87
22.16,101
22.31,99
22.46,80
23.01,79
23.16,94
23.31,103
23.46,100
24.01,87
24.16,80
24.31,79
24.46,90
25.01,99
25.16,93
25.31,75
25.46,76
